Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
103,SIMULATION,print.prt,print_prt,pco%pw_reg%y,pco%pw_reg%y,unique,4,18,derived_type,pco%pw_reg%y,pco%pw_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
104,SIMULATION,print.prt,print_prt,pco%pw_reg%a,pco%pw_reg%a,unique,5,18,derived_type,pco%pw_reg%a,pco%pw_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
105,SIMULATION,print.prt,print_prt,pco%aqu_reg%d,pco%aqu_reg%d,unique,2,19,derived_type,pco%aqu_reg%d,pco%aqu_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
106,SIMULATION,print.prt,print_prt,pco%aqu_reg%m,pco%aqu_reg%m,unique,3,19,derived_type,pco%aqu_reg%m,pco%aqu_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
107,SIMULATION,print.prt,print_prt,pco%aqu_reg%y,pco%aqu_reg%y,unique,4,19,derived_type,pco%aqu_reg%y,pco%aqu_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
108,SIMULATION,print.prt,print_prt,pco%aqu_reg%a,pco%aqu_reg%a,unique,5,19,derived_type,pco%aqu_reg%a,pco%aqu_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
109,SIMULATION,print.prt,print_prt,pco%res_reg%d,pco%res_reg%d,unique,2,20,derived_type,pco%res_reg%d,pco%res_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
110,SIMULATION,print.prt,print_prt,pco%res_reg%m,pco%res_reg%m,unique,3,20,derived_type,pco%res_reg%m,pco%res_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
111,SIMULATION,print.prt,print_prt,pco%res_reg%y,pco%res_reg%y,unique,4,20,derived_type,pco%res_reg%y,pco%res_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
112,SIMULATION,print.prt,print_prt,pco%res_reg%a,pco%res_reg%a,unique,5,20,derived_type,pco%res_reg%a,pco%res_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
