input_file,line_in_file,position_in_file,component,old_row,new_row
basins_carbon.tes,3,16,ALSLNCO2_para_sur,,"{'Line in File': '3', 'Position in File': '16', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ALSLNCO2_para_sur', 'Type': 'real', 'Dimensions': '-', 'Default': '0.6', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,17,ALSLNCO2_para_sub,,"{'Line in File': '3', 'Position in File': '17', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ALSLNCO2_para_sub', 'Type': 'real', 'Dimensions': '-', 'Default': '0.55', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,18,ASP_para_sur,,"{'Line in File': '3', 'Position in File': '18', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ASP_para_sur', 'Type': 'real', 'Dimensions': '-', 'Default': '0.0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,19,ASP_para_sub,,"{'Line in File': '3', 'Position in File': '19', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ASP_para_sub', 'Type': 'real', 'Dimensions': '-', 'Default': '0.0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,2,CFB_para,,"{'Line in File': '3', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'CFB_para', 'Type': 'real', 'Dimensions': '-', 'Default': '0.42', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,20,ALSLCO2_para,,"{'Line in File': '3', 'Position in File': '20', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ALSLCO2_para', 'Type': 'real', 'Dimensions': '-', 'Default': '0.3', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,21,APCO2_para,,"{'Line in File': '3', 'Position in File': '21', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'APCO2_para', 'Type': 'real', 'Dimensions': '-', 'Default': '0.55', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,22,ASCO2_para,,"{'Line in File': '3', 'Position in File': '22', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'ASCO2_para', 'Type': 'real', 'Dimensions': '-', 'Default': '0.55', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,23,PRMT_51_para,,"{'Line in File': '3', 'Position in File': '23', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'PRMT_51_para', 'Type': 'real', 'Dimensions': '-', 'Default': '1.0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
basins_carbon.tes,3,24,PRMT_45_para,,"{'Line in File': '3', 'Position in File': '24', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'carbon_terrestrial_inputs', 'Component': 'PRMT_45_para', 'Type': 'real', 'Dimensions': '-', 'Default': '0.003', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'cbn_tes'}"
